COMMON_NAME,SCIENTIFIC_NAME ,LCTA_CODE,ALPHA_CODE ,AOU,NEO_STAT,NEST_LOC,NEST_TYPE,FOOD_TYPE,FORAGING_SUBSTRATE,FORAGING_TECHNIQUE,HABITAT,NOTES
"Magpie, Black-billed",Pica pica,PIPI,BBMA,4750,R,"Woody Upper Canopy, Shrub",Sphere,"Insects, Carrion",Ground,Ground Gleaner,"Shrubland, Riparian",NA
"Magpie, Yellow-billed",Pica nuttalli,PINU,YBMA,4760,R,Woody Upper Canopy,Sphere,"Insects, Carrion","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Riparian",NA
Mallard,Anas platyrhynchos,ANPL,MALL,1320,R,Ground,Scrape,"Seeds, Greens",Water,Dabbler,"Freshwater, Swamp/Marsh",NA
"Martin, Purple",Progne subis,PRSU,PUMA,6110,A,"Snag, MMS",Cavity,Insects,Air,Aerial Foraging,"Grassland, Urban",NA
"Meadowlark, Eastern",Sturnella magna,STMA2,EAME,5010,B,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Cropland",NA
"Meadowlark, Western",Sturnella neglecta,STNE1,WEME,5011,B,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Cropland",NA
"Merganser, Common",Mergus merganser,MEME2,COME,1290,R,"Woody Upper Canopy, Ground","Cavity, Crevice","Fish, Aquatic Inverts",Water,Surface Dives,"Freshwater, Riparian",NA
"Merganser, Hooded",Lophodytes cucullatus,LOCU1,HOME,1310,R,"Snag, Woody Lower Canopy",Cavity,"Fish, Aquatic Inverts",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Merganser, Red-breasted",Mergus serrator,MESE,RBME,1300,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,Surface Dives,Freshwater,NA
Merlin,Falco columbarius,FACO,MERL,3570,A,"Woody Upper Canopy, Cliff","Platform, Cavity","Birds, Small Mammals",Air,"Aerial Pursuit, Hawker","Forest, Grassland",NA
"Mockingbird, Northern",Mimus polyglottos,MIPO,NOMO,7030,B,"Shrub, Woody Lower Canopy",Cup,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Shrubland, Urban",NA
"Moorhen, Common",Gallinula chloropus,GACH,COMO,2190,R,"Floating, Ground","Platform, Cup","Greens, Aquatic Inverts","Water, Ground","Surface Dips, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Murre, Common",Uria aalge,URAA,COMU,300,R,Cliff,None,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Murre, Thick-billed",Uria lomvia,URLO,TBMU,310,R,Cliff,None,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Murrelet, Ancient",Synthliboramphus antiquus,SYAN,ANMU,210,R,Ground,"Burrow, Crevice","Aquatic Inverts, Fish",Water,Surface Dives,"Coastal, Pelagic",NA
"Murrelet, Kittlitz’s",Brachyramphus brevirostris,BRBR,KIMU,240,R,Ground,None,Aquatic Inverts,Water,Surface Dives,"Coastal, Pelagic",NA
"Murrelet, Marbled",Brachyramphus marmoratus,BRMA,MAMU,230,R,"Ground, Woody Upper Canopy",Saucer,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Murrelet, Xantus’",Synthliboramphus hypoleucus,SYHY,XAMU,250,R,Ground,"Crevice, Burrow",Aquatic Inverts,Water,Surface Dives,"Coastal, Pelagic",NA
"Myna, Crested",Acridotheres cristatellus,ACCR,CRMY,4931,R,"Woody Upper Canopy, MMS",Cavity,"Insects, Fruit","Ground, Foliage","Ground Gleaner, Foliage Gleaner","Grassland, Urban",NA
"Nighthawk, Antillean",Chordeiles gundlachii,CHGU,ANNI,4201,D,Ground,None,Insects,Air,Aerial Foraging,Grassland,NA
"Nighthawk, Common",Chordeiles minor,CHMI,CONI,4200,A,Ground,None,Insects,Air,Aerial Foraging,"Grassland, Urban",NA
"Nighthawk, Lesser",Chordeiles acutipennis,CHAC,LENI,4210,A,Ground,None,Insects,Air,Aerial Foraging,"Shrubland, Shrubland",NA
"Nightjar, Buff-collared",Caprimulgus ridgwayi,CARI,BCNI,4161,C,Ground,None,Insects,Air,Aerial Foraging,"Shrubland, Forest",NA
"Noddy, Brown",Anous stolidus,ANST2,BRNO,790,R,"Shrub, Woody Lower Canopy",Saucer,Fish,Water,Skimmer,"Pelagic, Shoreline",NA
"Nutcracker, Clark’s",Nucifraga columbiana,NUCO,CLNU,4910,R,Woody Upper Canopy,Cup,"Nuts, Seeds","Foliage, Ground","Foliage Gleaner, Ground Gleaner",Forest,NA
"Nuthatch, Brown-headed",Sitta pusilla,SIPU,BHNU,7290,R,"Snag, Woody Lower Canopy",Cavity,"Insects, Seeds","Bark, Air","Bark Gleaner, Hawker",Forest,NA
"Nuthatch, Pygmy",Sitta pygmaea,SIPY,PYNU,7300,R,"Woody Upper Canopy, Snag",Cavity,"Insects, Seeds","Bark, Air","Bark Gleaner, Hover Gleaner",Forest,NA
"Nuthatch, Red-breasted",Sitta canadensis,SICA1,RBNU,7280,R,Woody Upper Canopy,Cavity,"Insects, Seeds","Bark, Air","Bark Gleaner, Hawker",Forest,NA
"Nuthatch, White-breasted",Sitta carolinensis,SICA2,WBNU,7270,R,Woody Upper Canopy,Cavity,"Insects, Nuts",Bark,Bark Gleaner,"Forest, Forest Edge",NA
Oldsquaw,Clangula hyemalis,CLHY,OLDS,1540,R,Ground,Scrape,"Aquatic Inverts, Fish",Water,Surface Dives,"Coastal, Tundra",NA
"Oriole, Altamira",Icterus gularis,ICGU,ALOR,5031,R,Woody Upper Canopy,Pendant,"Insects, Fruit",Foliage,Foliage Gleaner,"Forest, Shrubland",NA
"Oriole, Audubon’s",Icterus graduacauda,ICGR,AUOR,5030,R,Woody Lower Canopy,Pendant,"Insects, Fruit",Foliage,Foliage Gleaner,"Shrubland, Riparian",NA
"Oriole, Hooded",Icterus cucullatus,ICCU,HOOR,5050,A,"Woody Upper Canopy, Shrub",Pendant,"Insects, Nectar",Foliage,Foliage Gleaner,"Riparian, Shrubland",NA
"Oriole, Northern",Icterus galbula,ICGA,NOOR,5070,A,Woody Upper Canopy,Pendant,"Insects, Fruit","Foliage, Air","Foliage Gleaner, Hawker","Forest Edge, Urban",NA
"Oriole, Orchard",Icterus spurius,ICSP,OROR,5060,A,"Woody Upper Canopy, Shrub",Pendant,"Insects, Fruit",Foliage,Foliage Gleaner,"Shrubland, Forest",NA
"Oriole, Scott’s",Icterus parisorum,ICPA,SCOR,5040,A,"Woody Lower Canopy, Shrub",Pendant,"Insects, Fruit",Foliage,Foliage Gleaner,"Shrubland, Riparian",NA
"Oriole, Spot-breasted",Icterus pectoralis,ICPE,SPOO,5032,R,Woody Upper Canopy,Pendant,"Fruit, Nectar",Foliage,Foliage Gleaner,"Forest, Shrubland",NA
Osprey,Pandion haliaetus,PAHA,OSPR,3640,R,"Woody Upper Canopy, Cliff",Platform,"Fish, Small Mammals",Water,High Dives,Freshwater,NA
Ovenbird,Seiurus aurocapillus,SEAU,OVEN,6740,A,"Ground, Woody Lower Canopy",Oven,Insects,Ground,Ground Gleaner,Forest,NA
"Owl, Barred",Strix varia,STVA,BAOW,3680,R,"Snag, Woody Upper Canopy",Cavity,"Small Mammals, Birds",Ground,"Low Patrol, Hover & Pounce","Forest, Swamp/Marsh",NA
"Owl, Boreal",Aegolius funereus,AEFU,BOOW,3710,R,"Snag, Woody Lower Canopy",Cavity,"Small Mammals, Birds",Ground,Swooper,"Forest, Swamp/Marsh",NA
"Owl, Burrowing",Athene cunicularia,ATCU,BUOW,3780,A,Ground,Burrow,"Insects, Small Mammals",Ground,"Swooper, Hover & Pounce","Grassland, Urban",NA
"Owl, Common Barn",Tyto alba,TYAL,COBO,3650,R,"Snag, MMS",Cavity,"Small Mammals, Birds",Ground,"Low Patrol, Swooper","Grassland, Urban",NA
"Owl, Eastern Screech",Otus asio,OTAS,EASO,3730,R,"Snag, Woody Upper Canopy",Cavity,"Insects, Small Verts",Ground,Swooper,"Forest, Riparian",NA
"Owl, Elf",Micrathene whitneyi,MIWH,ELOW,3810,C,"Cactus, Woody Upper Canopy",Cavity,Insects,Ground,"Low Patrol, Hover & Pounce","Desert, Shrubland",NA
"Owl, Ferruginous Pygmy",Glaucidium brasilianum,GLBR,FEPO,3800,R,"Snag, Woody Lower Canopy",Cavity,"Insects, Small Verts",Ground,Swooper,"Desert, Shrubland",NA
"Owl, Flammulated",Otus flammeolus,OTFL,FLOW,3740,A,Snag,Cavity,Insects,"Air, Bark","Hawker, Bark Gleaner",Forest,NA
"Owl, Great Gray",Strix nebulosa,STNE,GGOW,3700,R,Woody Upper Canopy,Abandoned,"Small Mammals, Birds",Ground,"Hover & Pounce, Swooper","Forest, Swamp/Marsh",NA
"Owl, Great Horned",Bubo virginianus,BUVI,GHOW,3750,R,"Woody Upper Canopy, Cliff",Abandoned,"Small Mammals, Birds",Ground,Swooper,"Forest, Swamp/Marsh",NA
"Owl, Long-eared",Asio otus,ASOT,LEOW,3660,B,"Woody Upper Canopy, Ground",Abandoned,"Small Mammals, Birds",Ground,Low Patrol,"Forest, Urban",NA
"Owl, Northern Hawk",Surnia ulula,SUUL,NOHO,3770,R,"Snag, Woody Upper Canopy","Cavity, Platform","Small Mammals, Birds",Ground,"Swooper, Hover & Pounce","Forest, Swamp/Marsh",NA
"Owl, Northern Pygmy",Glaucidium gnoma,GLGN,NOPO,3790,R,"Snag, Woody Lower Canopy",Cavity,"Small Mammals, Insects",Ground,Swooper,Forest,NA
"Owl, Northern Saw-whet",Aegolius acadicus,AEAC,NSWO,3720,R,"Snag, Woody Upper Canopy",Cavity,"Small Mammals, Birds",Ground,Swooper,"Forest, Swamp/Marsh",NA
"Owl, Short-eared",Asio flammeus,ASFL,SEOW,3670,B,Ground,Scrape,"Small Mammals, Birds",Ground,"Low Patrol, Swooper","Grassland, Swamp/Marsh",NA
"Owl, Snowy",Nyctea scandiaca,NYSC,SNOW,3760,R,Ground,Scrape,"Small Mammals, Birds",Ground,Swooper,"Tundra, Rocky Slope",NA
"Owl, Spotted",Strix occidentalis,STOC1,SPOW,3690,R,"Woody Upper Canopy, Cliff","Cavity, Platform","Small Mammals, Birds",Ground,Swooper,Forest,NA
"Owl, Western Screech",Otus kennicotti,OTKE,WESO,3732,R,"Snag, Woody Upper Canopy",Cavity,"Small Mammals, Insects",Ground,Swooper,"Riparian, Shrubland",NA
"Owl, Whiskered Screech",Otus trichopsis,OTTR,WHSO,3731,R,Snag,Cavity,Insects,Ground,Swooper,Forest,NA
"Oystercatcher, American",Haematopus palliatus,HAPA,AMOY,2860,R,Ground,Scrape,"Aquatic Inverts, Fish",Water,Prober,"Coastal, Pelagic",NA
"Oystercatcher, Black",Haematopus bachmani,HABA,BLOY,2870,R,Ground,Scrape,"Aquatic Inverts, Fish",Water,Prober,"Coastal, Pelagic",NA
"Partridge, Gray",Perdix perdix,PEPE,GRPA,2881,R,Ground,Scrape,"Seeds, Insects",Ground,Ground Gleaner,Grassland,NA
"Parula, Northern",Parula americana,PAAM,NOPA,6480,A,Woody Upper Canopy,Pendant,Insects,"Foliage, Air","Foliage Gleaner, Hover Gleaner",Forest,NA
"Parula, Tropical",Parula pitiayumi,PAPI,TRPA,6490,R,Woody Upper Canopy,Pendant,Insects,"Foliage, Air","Foliage Gleaner, Hawker",Forest,NA
"Pauraque, Common",Nyctidromus albicollis,NYAL,COPA,4190,R,Ground,None,Insects,Air,"Aerial Foraging, Hawker","Forest, Forest Edge",NA
"Pelican, American White",Pelecanus erythrorhynchos,PEER,AWPE,1250,R,Ground,Scrape,"Fish, Aquatic Inverts",Water,Surface Dips,"Coastal, Pelagic",NA
"Pelican, Brown",Pelecanus occidentalis,PEOC,BRPE,1260,R,"Woody Upper Canopy, Cliff",Saucer,Fish,Water,High Dives,"Coastal, Pelagic",NA
"Petrel, Ashy Storm",Oceanodroma homochroa,OCHO,ASSP,1080,R,Ground,"Burrow, Crevice","Fish, Aquatic Inverts",Water,"Low Patrol, Surface Dips","Coastal, Pelagic",NA
"Petrel, Black Storm",Oceanodroma melania,OCME,BLSP,1070,R,"Ground, Cliff",Crevice,"Aquatic Inverts, Carrion",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Petrel, British Storm",Hydrobates pelagicus,HYPE,BHSP,1040,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Petrel, Fork-tailed Storm",Oceanodroma furcata,OCFU,FTSP,1050,R,Cliff,Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Petrel, Leach’s Storm",Oceanodroma leucorhoa,OCLE,LHSP,1060,R,"Ground, Bank",Burrow,"Fish, Aquatic Inverts",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Petrel, Least Storm",Oceanodroma microsoma,OCMI,LTSP,1030,R,"Ground, Cliff","Burrow, Crevice","Greens, Aquatic Inverts",Water,Low Patrol,"Coastal, Pelagic",NA
"Petrel, Wilson’s Storm",Oceanites oceanicus,OCOC,WISP,1090,R,"Ground, Cliff","Burrow, Crevice","Greens, Fish",Water,"Scavenger, Low Patrol","Coastal, Pelagic",NA
"Pewee, Eastern Wood",Contopus virens,COVI1,EAWP,4610,A,Woody Upper Canopy,Cup,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Forest, Forest Edge",NA
"Pewee, Greater",Contopus pertinax,COPE,GRPE,4600,C,Woody Upper Canopy,Cup,Insects,Air,Hawker,Forest,NA
"Pewee, Western Wood",Contopus sordidulus,COSO,WEWP,4620,A,Woody Upper Canopy,Cup,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Forest, Forest Edge",NA
Phainopepla,Phainopepla nitens,PHNI,PHAI,6200,A,"Woody Upper Canopy, Shrub",Cup,"Fruit, Insects","Foliage, Air","Foliage Gleaner, Hawker","Shrubland, Riparian",NA
"Phalarope, Red",Phalaropus fulicarius,PHFU,REPH,2220,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,"Surface Dips, Prober","Freshwater, Tundra",NA
"Phalarope, Red-necked",Phalaropus lobatus,PHLO,RNPH,2230,R,Ground,Scrape,"Aquatic Inverts, Seeds",Water,"Surface Dips, Prober",Freshwater,NA
"Phalarope, Wilson’s",Phalaropus tricolor,PHTR,WIPH,2240,R,Ground,Scrape,"Aquatic Inverts, Seeds",Water,"Surface Dips, Prober",Swamp/Marsh,NA
"Pheasant, Ring-necked",Phasianus colchicus,PHCO,RNPS,3091,R,Ground,Scrape,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Cropland",NA
"Phoebe, Black",Sayornis nigricans,SANI,BLPH,4580,R,"Cliff, MMS",Cup,"Insects, Fish",Air,"Hawker, Hover Gleaner","Riparian, Urban",NA
"Phoebe, Eastern",Sayornis phoebe,SAPH,EAPH,4560,B,"MMS, Cliff",Cup,"Insects, Fish",Air,Hawker,"Riparian, Urban",NA
"Phoebe, Say’s",Sayornis saya,SASA,SAPH,4570,B,"Cliff, MMS",Cup,"Insects, Fruit",Air,"Hawker, Hover Gleaner","Grassland, Forest",NA
"Pigeon, Band-tailed",Columba fasciata,COFA,BTPI,3120,A,Woody Upper Canopy,Platform,"Nuts, Fruit","Foliage, Ground","Foliage Gleaner, Ground Gleaner",Forest,NA
"Pigeon, Red-billed",Columba flavirostris,COFL1,RBPI,3130,R,Woody Upper Canopy,Platform,"Seeds, Nuts","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest, Riparian",NA
"Pigeon, White-crowned",Columba leucocephala,COLE,WCPI,3140,D,Woody Lower Canopy,Platform,Fruit,Foliage,Foliage Gleaner,Swamp/Marsh,NA
"Pintail, Northern",Anas acuta,ANAC,NOPI,1430,R,Ground,Scrape,"Seeds, Greens","Water, Ground","Dabbler, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Pipit, Red-throated",Anthus cervinus,ANCE,RTPI,6990,R,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,"Tundra, Rocky Slope",NA
"Pipit, Sprague’s",Anthus spragueii,ANSP1,SPPI,7000,B,Ground,Cup,"Insects, Seeds",Ground,Ground Gleaner,Grassland,NA
"Pipit, Water",Anthus spinoletta,ANSP,WAPI,6970,B,Ground,Cup,"Insects, Aquatic Inverts","Ground, Air","Ground Gleaner, Hawker","Shoreline, Tundra",NA
"Plover, Black-bellied",Pluvialis squatarola,PLSQ,BBPL,2700,R,Ground,Scrape,Insects,"Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA
"Plover, Common Ringed",Charadrius hiaticula,CHHI,CRPL,2750,R,Ground,Scrape,Insects,"Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA
"Plover, Lesser Golden",Pluvialis dominica,PLDO1,LEGP,2720,R,Ground,Scrape,Insects,"Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA
"Plover, Mongolian",Charadrius mongolus,CHMO,MOPL,2790,R,Ground,Scrape,Insects,Ground,Ground Gleaner,"Coastal, Tundra",NA
"Plover, Mountain",Charadrius montanus,CHMO1,MOUP,2810,A,Ground,Scrape,Insects,"Ground, Water",Ground Gleaner,Grassland,NA
"Plover, Piping",Charadrius melodus,CHME,PIPL,2770,R,Ground,Scrape,"Aquatic Inverts, Insects","Ground, Water","Ground Gleaner, Prober","Coastal, Freshwater",NA
"Plover, Semipalmated",Charadrius semipalmatus,CHSE,SEPL,2740,R,Ground,Scrape,"Aquatic Inverts, Insects","Ground, Water",Ground Gleaner,"Coastal, Tundra",NA
"Plover, Snowy",Charadrius alexandrinus,CHAL,SNPL,2780,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober","Coastal, Freshwater",NA
"Plover, Wilson’s",Charadrius wilsonia,CHWI,WIPL,2800,R,Ground,Scrape,"Aquatic Inverts, Insects",Water,Prober,Coastal,NA
"Poor-will, Common",Phalaenoptilus nuttallii,PHNU,COPW,4180,B,Ground,Scrape,Insects,Air,"Aerial Foraging, Hover Gleaner",Shrubland,NA
"Prairie-chicken, Greater",Tympanuchus cupido,TYCU,GRPC,3050,R,Ground,Scrape,"Seeds, Insects",Ground,Ground Gleaner,Grassland,NA
"Prairie-chicken, Lesser",Tympanuchus pallidicinctus,TYPA,LEPC,3070,R,Ground,Scrape,"Insects, Nuts",Ground,Ground Gleaner,Grassland,NA
"Ptarmigan, Rock",Lagopus mutus,LAMU,ROPT,3020,R,Ground,Scrape,"Greens, Fruit",Ground,Ground Gleaner,"Rocky Slope, Tundra",NA
"Ptarmigan, White-tailed",Lagopus leucurus,LALE,WTPT,3040,R,Ground,Scrape,"Greens, Insects",Ground,Ground Gleaner,Tundra,NA
"Ptarmigan, Willow",Lagopus lagopus,LALA,WIPT,3010,R,Ground,Scrape,"Greens, Seeds","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Shrubland, Tundra",NA
"Puffin, Atlantic",Fratercula arctica,FRAR,ATPU,130,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Puffin, Horned",Fratercula corniculata,FRCO,HOPU,140,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
"Puffin, Tufted",Fratercula cirrhata,FRCI,TUPU,120,R,"Ground, Cliff","Burrow, Crevice","Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
Pyrrhuloxia,Cardinalis sinuatus,CASI,PYRR,5940,R,"Shrub, Woody Lower Canopy",Cup,"Seeds, Insects",Ground,Ground Gleaner,Shrubland,NA
"Quail, California",Callipepla californica,CACA1,CAQU,2940,R,Ground,Scrape,"Seeds, Nuts",Ground,Ground Gleaner,"Shrubland, Cropland",NA
"Quail, Gambel’s",Callipepla gambelii,CAGA1,GAQU,2950,R,Ground,Scrape,"Seeds, Greens",Ground,"Ground Gleaner, Foliage Browser","Shrubland, Riparian",NA
"Quail, Montezuma",Cyrtonyx montezumae,CYMO1,MZQU,2960,R,Ground,Scrape,"Greens, Insects",Ground,"Digging, Ground Gleaner",Forest,NA
"Quail, Mountain",Oreortyx pictus,ORPI,MNQU,2920,R,Ground,Scrape,"Seeds, Insects",Ground,Ground Gleaner,"Forest, Shrubland",NA
"Quail, Scaled",Callipepla squamata,CASQ,SCQU,2930,R,Ground,Scrape,"Seeds, Greens",Ground,"Ground Gleaner, Foliage Browser","Shrubland, Grassland",NA
"Rail, Black",Laterallus jamaicensis,LAJA,BLRA,2160,R,Ground,Cup,"Insects, Seeds","Water, Ground","Prober, Ground Gleaner",Swamp/Marsh,NA
"Rail, Clapper",Rallus longirostris,RALO,CLRA,2110,R,Ground,Platform,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner",Swamp/Marsh,NA
"Rail, King",Rallus elegans,RAEL,KIRA,2080,R,Ground,Platform,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner",Swamp/Marsh,NA
"Rail, Virginia",Rallus limicola,RALI,VIRA,2120,R,Ground,Saucer,"Insects, Aquatic Inverts","Water, Ground","Prober, Ground Gleaner",Swamp/Marsh,NA
"Rail, Yellow",Coturnicops noveboracensis,CONO,YERA,2150,R,Ground,Saucer,"Aquatic Inverts, Insects","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Raven, Chihuahuan",Corvus cryptoleucus,COCR1,CHRA,4870,R,"Woody Upper Canopy, Shrub",Cup,"Insects, Carrion",Ground,"Scavenger, Ground Gleaner","Grassland, Shrubland",NA
"Raven, Common",Corvus corax,COCO2,CORA,4860,R,"Cliff, Woody Upper Canopy",Cup,"Carrion, Small Verts",Ground,"Scavenger, Ground Gleaner","Forest, Grassland",NA
Razorbill,Alca torda,ALTO,RAZO,320,R,Cliff,Crevice,"Fish, Aquatic Inverts",Water,Surface Dives,"Coastal, Pelagic",NA
Redhead,Aythya americana,AYAM,REDH,1460,R,Floating,Cup,"Greens, Aquatic Inverts",Water,Surface Dives,"Swamp/Marsh, Freshwater",NA
"Redpoll, Common",Carduelis flammea,CAFL,CORE,5280,R,"Shrub, Ground","Cup, Crevice","Seeds, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Forest, Tundra",NA
"Redpoll, Hoary",Carduelis hornemanni,CAHO,HORE,5270,R,"Shrub, Ground","Cup, Crevice","Seeds, Insects","Foliage, Ground","Foliage Gleaner, Ground Gleaner","Shrubland, Tundra",NA
"Redstart, American",Setophaga ruticilla,SERU1,AMRE,6870,A,"Woody Lower Canopy, Shrub",Cup,"Insects, Seeds","Air, Foliage","Hover Gleaner, Foliage Gleaner","Forest, Forest Edge",NA
"Redstart, Painted",Myioborus pictus,MYPI,PARE,6880,C,"Ground, Bank",Cup,Insects,"Foliage, Bark","Foliage Gleaner, Bark Gleaner","Forest, Riparian",NA
"Roadrunner, Greater",Geococcyx californianus,GECA1,GRRO,3850,R,"Woody Lower Canopy, Shrub",Platform,"Insects, Small Mammals",Ground,Ground Gleaner,"Shrubland, Desert",NA
"Robin, American",Turdus migratorius,TUMI,AMRO,7610,B,Woody Lower Canopy,Cup,Insects,"Ground, Foliage","Ground Gleaner, Foliage Gleaner","Forest, Urban",NA
Sanderling,Calidris alba,CAAL,SAND,2480,R,Ground,Scrape,"Insects, Greens","Water, Ground","Prober, Ground Gleaner","Coastal, Tundra",NA
"Sandpiper, Bairds",Calidris bairdii,CABA,BASA,2410,R,Ground,Scrape,Insects,Ground,Ground Gleaner,"Shoreline, Tundra",NA
"Sandpiper, Buff-breasted",Tryngites subruficollis,TRSU,BBSA,2620,R,Ground,Scrape,"Insects, Seeds",Ground,Ground Gleaner,"Shoreline, Tundra",NA
"Sandpiper, Curlew",Calidris ferruginea,CAFE,CUSA,2440,R,Ground,"Burrow, Scrape","Insects, Aquatic Inverts",Water,Prober,Coastal,NA
"Sandpiper, Least",Calidris minutilla,CAMI1,LESA,2420,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober","Coastal, Swamp/Marsh",NA
"Sandpiper, Pectoral",Calidris melanotos,CAME1,PESA,2390,R,Ground,Scrape,Insects,"Water, Ground","Prober, Ground Gleaner","Coastal, Tundra",NA
"Sandpiper, Purple",Calidris maritima,CAMA,PUSA,2350,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober","Coastal, Tundra",NA
"Sandpiper, Rock",Calidris ptilocnemis,CAPT,ROSA,2360,R,Ground,Scrape,"Insects, Aquatic Inverts",Water,Prober,Coastal,NA
"Sandpiper, Semipalmated",Calidris pusilla,CAPU,SESA,2460,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober","Tundra, Coastal",NA
"Sandpiper, Solitary",Tringa solitaria,TRSO,SOSA,2560,R,Woody Upper Canopy,Cup,"Insects, Aquatic Inverts","Water, Ground","Prober, Ground Gleaner","Swamp/Marsh, Freshwater",NA
"Sandpiper, Spotted",Actitis macularia,ACMA,SPSA,2630,R,Ground,Scrape,"Insects, Aquatic Inverts",Ground,Ground Gleaner,Shoreline,NA
"Sandpiper, Stilt",Calidris himantopus,CAHI,STSA,2330,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,Prober,"Tundra, Swamp/Marsh",NA
"Sandpiper, Upland",Bartramia longicauda,BALO,UPSA,2610,A,Ground,Scrape,"Insects, Seeds",Ground,Ground Gleaner,"Grassland, Forest",NA
"Sandpiper, Western",Calidris mauri,CAMA1,WESA,2470,R,Ground,Scrape,"Insects, Aquatic Inverts","Ground, Water","Ground Gleaner, Prober",Coastal,NA
"Sandpiper, White-rumped",Calidris fuscicollis,CAFU,WRSA,2400,R,Ground,Scrape,"Insects, Seeds","Ground, Water","Ground Gleaner, Prober","Tundra, Coastal",NA
"Sandpiper, Wood",Tringa glareola,TRGL,WOSA,2571,R,"Ground, Woody Lower Canopy",Saucer,Insects,"Water, Ground","Prober, Ground Gleaner","Coastal, Tundra",NA
"Sapsucker, Red-breasted",Sphyrapicus ruber,SPRU,RBSA,4030,B,"Woody Upper Canopy, Snag",Cavity,"Insects, Tree Sap","Bark, Air","Bark Gleaner, Hawker",Forest,NA
"Sapsucker, Red-naped",Sphyrapicus nuehalis,SPNU,RNSA,4021,B,Woody Lower Canopy,Cavity,"Insects, Tree Sap","Bark, Air","Bark Gleaner, Hawker","Forest, Riparian",NA
"Sapsucker, Williamson’s",Sphyrapicus thyroideus,SPTH,WISA,4040,B,Woody Upper Canopy,Cavity,"Insects, Tree Sap","Bark, Ground","Bark Gleaner, Ground Gleaner",Forest,NA
"Sapsucker, Yellow-bellied",Sphyrapicus varius,SPVA1,YBSA,4020,B,Woody Upper Canopy,Cavity,"Insects, Tree Sap","Bark, Air","Bark Gleaner, Hawker",Forest,NA
"Scaup, Greater",Aythya marila,AYMA,GRSC,1480,R,"Ground, Floating",Scrape,"Aquatic Inverts, Greens",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Scaup, Lesser",Aythya affinis,AYAF,LESC,1490,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Scoter, Black",Melanitta nigra,MENI,BLSC,1630,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Scoter, Surf",Melanitta perspicillata,MEPE,SUSC,1660,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,Surface Dives,"Freshwater, Swamp/Marsh",NA
"Scoter, White-winged",Melanitta fusca,MEFU,WWSC,1650,R,Ground,Scrape,"Aquatic Inverts, Greens",Water,Surface Dives,Freshwater,NA
